INDEP,DEP
9.49,7714.17
9.50,7731.06
9.51,7747.97
9.52,7764.90
9.53,7781.85
9.54,7798.81
9.55,7815.80
9.56,7832.80
9.57,7849.83
9.58,7866.87
9.59,7883.93
9.60,7901.01
9.61,7918.11
9.62,7935.23
9.63,7952.37
9.64,7969.53
9.65,7986.71
9.66,8003.90
9.67,8021.12
9.68,8038.35
9.69,8055.61
9.70,8072.88
9.71,8090.17
9.72,8107.48
9.73,8124.81
9.74,8142.16
9.75,8159.53
9.76,8176.92
9.77,8194.33
9.78,8211.76
9.79,8229.20
9.80,8246.67
9.81,8264.15
9.82,8281.65
9.83,8299.18
9.84,8316.72
9.85,8334.28
9.86,8351.86
9.87,8369.46
9.88,8387.08
9.89,8404.72
9.90,8422.37
9.91,8440.05
9.92,8457.74
9.93,8475.46
9.94,8493.19
9.95,8510.95
9.96,8528.72
9.97,8546.51
9.98,8564.32
9.99,8582.15
10.00,8600.00
10.01,8619.22
10.02,8638.46
10.03,8657.72
10.04,8677.01
10.05,8696.32
10.06,8715.66
10.07,8735.02
10.08,8754.40
10.09,8773.81
10.10,8793.24
10.11,8812.70
10.12,8832.17
10.13,8851.68
10.14,8871.20
10.15,8890.75
10.16,8910.33
10.17,8929.92
10.18,8949.54
10.19,8969.19
10.20,8988.86
10.21,9008.55
10.22,9028.26
10.23,9048.00
10.24,9067.77
10.25,9087.56
10.26,9107.37
10.27,9127.20
10.28,9147.06
10.29,9166.94
10.30,9186.85
10.31,9206.78
10.32,9226.74
10.33,9246.71
10.34,9266.72
10.35,9286.74
10.36,9306.79
10.37,9326.87
10.38,9346.96
10.39,9367.08
10.40,9387.23
10.41,9407.40
10.42,9427.59
10.43,9447.81
10.44,9468.05
10.45,9488.32
10.46,9508.60
10.47,9528.92
10.48,9549.25
10.49,9569.62
10.50,9590.00
10.51,9608.27
10.52,9626.57
10.53,9644.88
10.54,9663.20
10.55,9681.55
10.56,9699.91
10.57,9718.29
10.58,9736.68
10.59,9755.10
10.60,9773.53
10.61,9791.98
10.62,9810.44
10.63,9828.92
10.64,9847.43
10.65,9865.94
10.66,9884.48
10.67,9903.03
10.68,9921.60
10.69,9940.19
10.70,9958.79
10.71,9977.42
10.72,9996.06
10.73,10014.71
10.74,10033.39
10.75,10052.08
10.76,10070.79
10.77,10089.52
10.78,10108.26
10.79,10127.02
10.80,10145.80
10.81,10164.60
10.82,10183.41
10.83,10202.24
10.84,10221.09
10.85,10239.95
10.86,10258.84
10.87,10277.74
10.88,10296.66
10.89,10315.59
10.90,10334.55
10.91,10353.52
10.92,10372.50
10.93,10391.51
10.94,10410.53
10.95,10429.57
10.96,10448.63
10.97,10467.70
10.98,10486.79
10.99,10505.90
11.00,10525.03
11.01,10544.17
11.02,10563.34
11.03,10582.51
11.04,10601.71
11.05,10620.92
11.06,10640.16
11.07,10659.40
11.08,10678.67
11.09,10697.95
11.10,10717.25
11.11,10736.57
11.12,10755.91
11.13,10775.26
11.14,10794.63
11.15,10814.02
11.16,10833.42
11.17,10852.85
11.18,10872.29
11.19,10891.74
11.20,10911.22
11.21,10930.71
11.22,10950.22
11.23,10969.75
11.24,10989.29
11.25,11008.85
11.26,11028.43
11.27,11048.03
11.28,11067.64
11.29,11087.27
11.30,11106.92
11.31,11126.59
11.32,11146.27
11.33,11165.97
11.34,11185.69
11.35,11205.42
11.36,11225.18
11.37,11244.95
11.38,11264.74
11.39,11284.54
11.40,11304.36
11.41,11324.20
11.42,11344.06
11.43,11363.94
11.44,11383.83
11.45,11403.74
11.46,11423.66
11.47,11443.61
11.48,11463.57
11.49,11483.55
11.50,11503.54
11.51,11523.56
11.52,11543.59
11.53,11563.64
11.54,11583.70
11.55,11603.79
11.56,11623.89
11.57,11644.01
11.58,11664.14
11.59,11684.30
11.60,11704.47
11.61,11724.65
11.62,11744.86
11.63,11765.08
11.64,11785.32
11.65,11805.58
11.66,11825.85
11.67,11846.15
11.68,11866.46
11.69,11886.78
11.70,11907.13
11.71,11927.49
11.72,11947.87
11.73,11968.26
11.74,11988.68
11.75,12009.11
11.76,12029.56
11.77,12050.02
11.78,12070.51
11.79,12091.01
11.80,12111.53
11.81,12132.06
11.82,12152.62
11.83,12173.19
11.84,12193.77
11.85,12214.38
11.86,12235.00
11.87,12255.64
11.88,12276.30
11.89,12296.97
11.90,12317.67
11.91,12338.38
11.92,12359.10
11.93,12379.85
11.94,12400.61
11.95,12421.39
11.96,12442.18
11.97,12463.00
11.98,12483.83
11.99,12504.68
12.00,12525.55
12.01,12546.43
12.02,12567.33
12.03,12588.25
12.04,12609.18
12.05,12630.14
12.06,12651.11
12.07,12672.10
12.08,12693.10
12.09,12714.12
12.10,12735.16
12.11,12756.22
12.12,12777.30
12.13,12798.39
12.14,12819.50
12.15,12840.62
12.16,12861.77
12.17,12882.93
12.18,12904.11
12.19,12925.31
12.20,12946.52
12.21,12967.75
12.22,12989.00
12.23,13010.27
12.24,13031.55
12.25,13052.85
12.26,13074.17
12.27,13095.51
12.28,13116.86
12.29,13138.23
12.30,13159.62
12.31,13181.02
12.32,13202.45
12.33,13223.89
12.34,13245.34
12.35,13266.82
12.36,13288.31
12.37,13309.82
12.38,13331.35
12.39,13352.89
12.40,13374.45
12.41,13396.03
12.42,13417.63
12.43,13439.24
12.44,13460.88
12.45,13482.52
12.46,13504.19
12.47,13525.87
12.48,13547.58
12.49,13569.29
12.50,13591.03
12.51,13612.78
12.52,13634.55
12.53,13656.34
12.54,13678.15
12.55,13699.97
12.56,13721.81
12.57,13743.67
12.58,13765.54
12.59,13787.44
12.60,13809.35
12.61,13831.27
12.62,13853.22
12.63,13875.18
12.64,13897.16
12.65,13919.16
12.66,13941.17
12.67,13963.20
12.68,13985.25
12.69,14007.32
12.70,14029.40
12.71,14051.50
12.72,14073.62
12.73,14095.76
12.74,14117.91
12.75,14140.08
12.76,14162.27
12.77,14184.47
12.78,14206.70
12.79,14228.94
12.80,14251.19
12.81,14273.47
12.82,14295.76
12.83,14318.07
12.84,14340.40
12.85,14362.74
12.86,14385.11
12.87,14407.48
12.88,14429.88
12.89,14452.30
12.90,14474.73
12.91,14497.18
12.92,14519.64
12.93,14542.13
12.94,14564.63
12.95,14587.15
12.96,14609.68
12.97,14632.24
12.98,14654.81
12.99,14677.39
13.00,14700.00
13.01,14725.40
13.02,14750.83
13.03,14776.28
13.04,14801.75
13.05,14827.25
13.06,14852.78
13.07,14878.33
13.08,14903.90
13.09,14929.50
13.10,14955.12
13.11,14980.76
13.12,15006.43
13.13,15032.13
13.14,15057.85
13.15,15083.59
13.16,15109.36
13.17,15135.15
13.18,15160.97
13.19,15186.81
13.20,15212.67
13.21,15238.56
13.22,15264.47
13.23,15290.41
13.24,15316.38
13.25,15342.36
13.26,15368.38
13.27,15394.41
13.28,15420.47
13.29,15446.56
13.30,15472.67
13.31,15498.80
13.32,15524.96
13.33,15551.14
13.34,15577.35
13.35,15603.58
13.36,15629.84
13.37,15656.12
13.38,15682.42
13.39,15708.75
13.40,15735.11
13.41,15761.49
13.42,15787.89
13.43,15814.32
13.44,15840.77
13.45,15867.25
13.46,15893.75
13.47,15920.27
13.48,15946.83
13.49,15973.40
13.50,16000.00
