INDEP,DEP
13.72,8837.99
13.73,8866.29
13.74,8894.67
13.75,8923.11
13.76,8951.62
13.77,8980.21
13.78,9008.86
13.79,9037.59
13.80,9066.38
13.81,9095.25
13.82,9124.19
13.83,9153.20
13.84,9182.28
13.85,9211.43
13.86,9240.65
13.87,9269.94
13.88,9299.31
13.89,9328.75
13.90,9358.25
13.91,9387.84
13.92,9417.49
13.93,9447.21
13.94,9477.01
13.95,9506.88
13.96,9536.83
13.97,9566.84
13.98,9596.93
13.99,9627.09
14.00,9657.33
14.01,9687.64
14.02,9718.02
14.03,9748.47
14.04,9779.00
14.05,9809.60
14.06,9840.28
14.07,9871.03
14.08,9901.86
14.09,9932.76
14.10,9963.73
14.11,9994.78
14.12,10025.90
14.13,10057.10
14.14,10088.37
14.15,10119.72
14.16,10151.14
14.17,10182.64
14.18,10214.21
14.19,10245.86
14.20,10277.58
14.21,10309.38
14.22,10341.26
14.23,10373.21
14.24,10405.24
14.25,10437.34
14.26,10469.52
14.27,10501.78
14.28,10534.11
14.29,10566.53
14.30,10599.01
14.31,10631.58
14.32,10664.22
14.33,10696.94
14.34,10729.74
14.35,10762.61
14.36,10795.56
14.37,10828.59
